Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year,month,day,dayofweek,is_weekend
0.93913327336434,0.6319817972262476,1.1842996239204,0.0,-1.098203006168701,0.45942114323734196,0.03344598976217703,0.9427139183738914,0.3909720740025611,0.7129145071314792,0.6536673595265007,-0.9376550919246721,0.05884398364565875,-0.6647165422535162,-0.5621687960694202,-0.9628793301639598,-0.6672073207627235,-0.5049150728705976,-0.63486922226134
1.0835832526336653,0.25480703562219115,0.9027906891612903,0.0,1.409175284502036,0.15995751756943974,-0.24003562358302263,1.3831579476889382,0.131712481039179,0.36872464948105266,-0.009573106164531525,-0.9623755093070827,-0.006070961479452147,-0.7528374967077951,-0.5621687960694202,-0.9628793301639598,-0.6672073207627235,-0.5049150728705976,-0.63486922226134
1.2280332319029905,0.41645336202392963,1.3581727895069091,0.0,1.3815457716571795,0.10730457239706132,-0.11848823987404501,1.2562503460218908,0.4033177689055793,0.3583730748148744,0.21897597322899984,-1.0777374570916658,0.33473250042738006,-0.6871378501915871,-0.5621687960694202,-0.9628793301639598,-0.6672073207627235,-0.5049150728705976,-0.63486922226134
1.3724832111723158,0.41645336202392963,1.2505370203343082,0.0,1.3953605280796078,0.13692185405652418,0.05949185769981509,1.077086673080177,0.5020833281297249,0.4334219911446667,0.5080233383443483,-1.151898709238898,0.6593072260529346,-0.5812884196932521,-0.5621687960694202,-0.9628793301639598,-0.6672073207627235,-0.5049150728705976,-0.63486922226134
1.5169331904416408,-0.1762498347824448,0.8199939436439052,0.0,1.2019539381656115,-0.23164876215012473,-0.11848823987404501,1.4988678197971284,0.4280091587116157,0.190159986489478,0.2996403541914227,-1.1354184309839574,0.6376689110112309,-0.5760741620332356,-0.5621687960694202,-0.9628793301639598,-0.6672073207627235,-0.5049150728705976,-0.63486922226134
1.661383169710966,-0.3917782699847628,0.5095061479537106,0.0,0.8773071622385464,-0.5146583424516586,-0.30080931543751144,1.9915679203868417,0.18109526065125178,-0.06086569916534436,-0.061108682890523895,-1.1354184309839574,0.6160305959695274,-0.5870241031192702,-0.5621687960694202,-0.9628793301639598,-0.6672073207627235,-0.5049150728705976,-0.63486922226134
-1.6609663534835137,-0.3917782699847628,0.4598281006432795,0.0,0.25564312322927274,-0.7121068868480778,-0.41801572115688274,2.3928198962458884,-0.05347294250609392,-0.21613931915801798,-0.5450949686650609,-1.1271782918564872,0.4862007057193055,-0.6579380072954947,-0.5621687960694202,-0.9628793301639598,-0.5536765169733653,-0.004969005479044074,-0.63486922226134
-1.5165163742141885,-0.5534245963865013,0.25697607412568574,0.0,0.23492098859563026,-0.7713414501670035,-0.41801572115688274,2.3928198962458884,-0.06581863740911212,-0.21613931915801798,-0.5518170004119295,-1.1766191266213086,0.6593072260529346,-0.6303024416974072,-0.5621687960694202,-0.9628793301639598,-0.5536765169733653,-0.004969005479044074,-0.63486922226134
-1.3720663949448633,-0.6073067051870807,0.0831029085391768,0.0,-0.5179832364267123,-0.9786624217832435,-0.4918123469801906,2.3928198962458884,-0.2633497558574032,-0.3636492581510579,-0.7982914977971104,-1.1766191266213086,0.6430784897716568,-0.6443809373794518,-0.5621687960694202,-0.9628793301639598,-0.5536765169733653,-0.004969005479044074,-0.63486922226134
-1.2276164156755383,-0.7689530315888192,-0.26464342263384105,0.0,-1.2501653268154123,-1.1366212573003787,-1.5553519544337449,2.3928198962458884,-1.8312530085407142,-0.4697528984793849,-1.064932090422897,-1.2095796831311896,0.6701263835737864,-0.6819235925315705,-0.5621687960694202,-0.9628793301639598,-0.5536765169733653,-0.004969005479044074,-0.63486922226134
